"","Managed Area Name","Year","Number of Samples","Minimum Value (Total Nitrogen mg/L)","Maximum Value (Total Nitrogen mg/L)","Median (Total Nitrogen mg/L)","Mean (Total Nitrogen mg/L)","Standard Deviation (Total Nitrogen mg/L)","Programs with Data"
"229","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",1995,28,0.001,1.56,0.4135,0.522214285714286,0.515430374443989,"5002"
"230","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",1996,48,0.001,1.11,0.26,0.39375,0.413323607183668,"5002"
"231","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",1997,74,0.001,1.6,0.41,0.470108108108108,0.456610549190432,"5002"
"232","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",1998,76,0.002,1.8,0.365,0.451118421052632,0.447777056643304,"5002"
"233","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",1999,48,0.02,1.2,0.3,0.388541666666667,0.379428403154755,"5002"
"234","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2000,58,4e-04,1.49,0.02,0.253803448275862,0.350961846762063,"5002;514"
"235","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2001,69,4e-04,2.27,0.017,0.395255072463768,0.612263297969157,"5002;514"
"236","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2002,94,4e-04,1.97,0.1345,0.33215,0.420030656779251,"5002;514"
"237","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2003,140,3e-04,5.45,0.1475,0.334877142857143,0.624228216584501,"5002;514"
"238","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2004,160,0,2.34,0.122,0.34679,0.479115735181087,"5002;3;514"
"239","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2005,159,0,2.39,0.212,0.394406918238994,0.485118084165852,"5002;3;514"
"240","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2006,29,0,1.88,0.053,0.325379310344828,0.471469542554607,"5002;3"
"241","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2007,57,0,0.695,0.01,0.163545614035088,0.208172577848092,"5002;3;514"
"242","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2008,93,0,1.75,0.004,0.134368817204301,0.288476601409096,"5002;3;514"
"243","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2009,85,0,1.79,0.004,0.184264705882353,0.361018132279715,"5002;3;514"
"244","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2010,77,0,2.26,0.011,0.266493506493507,0.446436405071393,"5002;3"
"245","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2011,70,0,1.51,0.0065,0.251471428571429,0.36557418491886,"5002"
"246","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2012,72,0,1.34,0.013,0.226833333333333,0.332575015365061,"5002"
"247","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2013,72,0,1.95,0.018,0.311819444444444,0.4893033370752,"5002"
"248","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2014,99,0,2.33,0.033,0.382030303030303,0.530210094179954,"5002"
"249","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2015,105,0,1.55,0.023,0.318914285714286,0.450204614042876,"5002"
"250","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2016,120,0,3.37,0.026,0.383666666666667,0.591137037580018,"5002"
"251","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2017,67,0.004,1.82,0.236,0.471925373134328,0.47884027555957,"5002"
"252","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2018,74,0.004,1.61,0.297,0.395918918918919,0.413327153477188,"5002"
"253","Gasparilla Sound-Charlotte Harbor Aquatic Preserve",2019,66,0.006,1.33,0.266,0.343848484848485,0.367210785932768,"5002"
"254","Guana River Marsh Aquatic Preserve",2002,2,0.022,0.69,0.356,0.356,0.472347329832614,"5002"
"255","Guana River Marsh Aquatic Preserve",2017,125,0.003,3.68,0.92,0.89616,0.867264799388321,"5014"
"256","Guana River Marsh Aquatic Preserve",2018,144,0.011,2.84,0.575,0.814777777777778,0.758016794511481,"5014"
"257","Guana River Marsh Aquatic Preserve",2020,87,0.002,6.75,0.92,1.24903448275862,1.15982076049342,"5014"
"258","Guana Tolomato Matanzas National Estuarine Research Reserve",2002,2,0.022,0.69,0.356,0.356,0.472347329832614,"5002"
"259","Guana Tolomato Matanzas National Estuarine Research Reserve",2017,156,0.003,3.68,0.92,0.851288461538461,0.817690090434657,"5014"
"260","Guana Tolomato Matanzas National Estuarine Research Reserve",2018,180,0.003,2.84,0.74,0.789655555555556,0.713588252106481,"5014"
"261","Guana Tolomato Matanzas National Estuarine Research Reserve",2020,100,0.002,6.75,0.92,1.22428,1.10553828088631,"5014"
"262","Indian River-Malabar to Vero Beach Aquatic Preserve",2005,15,0,1.1,0.036,0.332066666666667,0.447788289687161,"5002"
"263","Indian River-Malabar to Vero Beach Aquatic Preserve",2006,30,0,0.83,0.0305,0.223833333333333,0.3118765320834,"5002"
"264","Indian River-Malabar to Vero Beach Aquatic Preserve",2008,44,0,1.3,0.028,0.243681818181818,0.361694447220448,"5002"
"265","Indian River-Malabar to Vero Beach Aquatic Preserve",2009,55,0,1.2,0.031,0.276818181818182,0.373757650282614,"5002"
"266","Jensen Beach to Jupiter Inlet Aquatic Preserve",1991,2,0.025,0.07,0.0475,0.0475,0.0318198051533946,"10000"
"267","Jensen Beach to Jupiter Inlet Aquatic Preserve",1992,4,0.025,0.05,0.025,0.03125,0.0125,"10000"
"268","Jensen Beach to Jupiter Inlet Aquatic Preserve",1993,4,0.025,0.025,0.025,0.025,0,"10000"
"269","Jensen Beach to Jupiter Inlet Aquatic Preserve",1994,6,0.025,0.025,0.025,0.025,0,"10000"
"270","Jensen Beach to Jupiter Inlet Aquatic Preserve",1995,6,0.025,0.025,0.025,0.025,0,"10000"
"271","Jensen Beach to Jupiter Inlet Aquatic Preserve",1996,6,0.025,0.025,0.025,0.025,0,"10000"
"272","Jensen Beach to Jupiter Inlet Aquatic Preserve",1997,6,0.01,0.025,0.015,0.0166666666666667,0.00683130051063973,"10000"
"273","Jensen Beach to Jupiter Inlet Aquatic Preserve",1998,6,0.006,0.05,0.01,0.016,0.0167332005306815,"10000"
"274","Jensen Beach to Jupiter Inlet Aquatic Preserve",1999,6,0.006,0.05,0.006,0.0133333333333333,0.01796292478041,"10000"
"275","Jensen Beach to Jupiter Inlet Aquatic Preserve",2000,6,0.006,0.03,0.007,0.011,0.0094233751915118,"10000"
"276","Jensen Beach to Jupiter Inlet Aquatic Preserve",2001,6,0.006,0.012,0.0085,0.00883333333333333,0.00231660671385254,"10000"
"277","Jensen Beach to Jupiter Inlet Aquatic Preserve",2002,6,0.006,0.013,0.008,0.0085,0.00266458251889485,"10000"
"278","Jensen Beach to Jupiter Inlet Aquatic Preserve",2003,8,0.006,0.78,0.007,0.20075,0.357531117526853,"10000"
"279","Jensen Beach to Jupiter Inlet Aquatic Preserve",2004,6,0.006,0.029,0.008,0.0111666666666667,0.00895358401237553,"10000"
"280","Jensen Beach to Jupiter Inlet Aquatic Preserve",2005,18,0.006,2.15,0.455,0.616333333333333,0.684662733631333,"10000"
"281","Jensen Beach to Jupiter Inlet Aquatic Preserve",2006,16,0.006,0.73,0.2,0.1938125,0.226681044274402,"10000"
"282","Jensen Beach to Jupiter Inlet Aquatic Preserve",2007,18,0.006,0.82,0.2,0.220166666666667,0.243092877433345,"10000"
"283","Jensen Beach to Jupiter Inlet Aquatic Preserve",2008,18,0.005,0.69,0.2,0.207555555555556,0.206582905226996,"10000"
"284","Jensen Beach to Jupiter Inlet Aquatic Preserve",2009,18,0.005,0.47,0.2,0.165,0.143874945699382,"10000"
"285","Jensen Beach to Jupiter Inlet Aquatic Preserve",2010,18,0.005,0.48,0.2,0.170555555555556,0.148035060323449,"10000"
"286","Jensen Beach to Jupiter Inlet Aquatic Preserve",2011,18,0.005,0.58,0.2,0.203444444444444,0.188720216885838,"10000"
"287","Jensen Beach to Jupiter Inlet Aquatic Preserve",2012,18,0.003,0.2,0.2,0.134333333333333,0.0955590362643152,"10000"
"288","Jensen Beach to Jupiter Inlet Aquatic Preserve",2013,18,0.005,0.2,0.2,0.135333333333333,0.0941131984242755,"10000"
"289","Jensen Beach to Jupiter Inlet Aquatic Preserve",2014,18,0.005,0.28,0.2,0.144055555555556,0.103881421212855,"10000"
"290","Jensen Beach to Jupiter Inlet Aquatic Preserve",2015,18,0.005,0.2,0.2,0.135,0.0945888937641699,"10000"
"291","Jensen Beach to Jupiter Inlet Aquatic Preserve",2016,18,0.005,0.421,0.2,0.182277777777778,0.13895568720472,"10000"
"292","Jensen Beach to Jupiter Inlet Aquatic Preserve",2017,15,0.005,0.21,0.2,0.137333333333333,0.0961744446800906,"10000"
"293","Jensen Beach to Jupiter Inlet Aquatic Preserve",2018,10,0.005,0.405,0.2025,0.1743,0.161960934933225,"10000"
"294","Jensen Beach to Jupiter Inlet Aquatic Preserve",2019,12,0.005,0.805,0.2025,0.25325,0.280161682215499,"10000"
"295","Lignumvitae Key Aquatic Preserve",1998,10,0,2.85,0.8685,0.8588,0.849376738817614,"3"
"296","Loxahatchee River-Lake Worth Creek Aquatic Preserve",1991,32,0.025,0.92,0.16,0.2990625,0.293129492193379,"10000"
"297","Loxahatchee River-Lake Worth Creek Aquatic Preserve",1992,68,0.025,1.82,0.0835,0.460602941176471,0.508822877422228,"10000"
"298","Loxahatchee River-Lake Worth Creek Aquatic Preserve",1993,71,0.025,1.36,0.108,0.395380281690141,0.442098384854942,"10000"
"299","Loxahatchee River-Lake Worth Creek Aquatic Preserve",1994,115,0.025,2.26,0.13,0.516686956521739,0.627754594542108,"10000"
"300","Loxahatchee River-Lake Worth Creek Aquatic Preserve",1995,103,0.025,2.17,0.07,0.435029126213592,0.581491413392519,"10000"
"301","Loxahatchee River-Lake Worth Creek Aquatic Preserve",1996,122,0.025,2.16,0.1005,0.58355737704918,0.655785177600108,"10000"
"302","Loxahatchee River-Lake Worth Creek Aquatic Preserve",1997,126,0.01,1.87,0.124,0.624992063492063,0.654079573092226,"10000"
"303","Loxahatchee River-Lake Worth Creek Aquatic Preserve",1998,110,0.01,2.18,0.0805,0.428918181818182,0.532692488047609,"10000"
"304","Loxahatchee River-Lake Worth Creek Aquatic Preserve",1999,124,0.006,2,0.128,0.574629032258064,0.60945370003275,"10000"
"305","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2000,100,0.006,2.14,0.0475,0.4735,0.653576786737118,"10000"
"306","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2001,118,4e-04,2.46,0.0795,0.598635593220339,0.757891734767096,"10000;514"
"307","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2002,121,2e-04,1.76,0.067,0.305468595041322,0.424187052692767,"10000;514"
"308","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2003,137,2e-04,2.7,0.095,0.632870072992701,0.806738403493548,"10000;514"
"309","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2004,130,3e-04,2.49,0.047,0.442414615384615,0.5968489926416,"10000;514"
"310","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2005,246,3e-04,3.93,0.695,0.821730894308943,0.826910295915237,"10000;514"
"311","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2006,236,4e-04,2.75,0.33,0.499717372881356,0.574401379342456,"10000;514"
"312","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2007,372,3e-04,2.09,0.2,0.424408064516129,0.455198856091576,"10000;514"
"313","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2008,382,3e-04,1.56,0.285,0.396863089005236,0.376047637812477,"10000;514"
"314","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2009,378,1e-04,1.51,0.2,0.355648412698413,0.363975239283935,"10000;514"
"315","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2010,372,4e-04,1.99,0.225,0.375643817204301,0.358343936173612,"10000;514"
"316","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2011,372,5e-04,2.2,0.245,0.430273387096774,0.436906461232452,"10000;514"
"317","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2012,372,4e-04,1.077,0.2,0.336907258064516,0.30603354470754,"10000;514"
"318","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2013,370,3e-04,1.093,0.2,0.335709459459459,0.292327751691353,"10000;514"
"319","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2014,381,3e-04,1.3,0.3,0.382202362204724,0.337622533498557,"10000;514"
"320","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2015,379,5e-04,1.377,0.2,0.36811345646438,0.332339597150742,"10000;514"
"321","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2016,360,4e-04,1.3,0.3,0.397385277777778,0.345651641223794,"10000;514"
"322","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2017,339,3e-04,1.616,0.3,0.442529203539823,0.409944806433921,"10000;514"
"323","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2018,285,3e-04,2.1,0.3,0.407684561403509,0.384755170242605,"10000;514"
"324","Loxahatchee River-Lake Worth Creek Aquatic Preserve",2019,335,4e-04,1.218,0.345,0.402527164179105,0.339862455724071,"10000;514"
"325","Nassau River-St. Johns River Marshes Aquatic Preserve",2004,16,0.004,0.76,0.192,0.292625,0.315061660631693,"5002"
"326","Pine Island Sound Aquatic Preserve",2001,35,3e-04,8e-04,5e-04,0.000471428571428571,0.000107296808163229,"514"
"327","Pine Island Sound Aquatic Preserve",2002,24,3e-04,7e-04,4e-04,0.000433333333333333,0.000120385853085769,"514"
"328","Pinellas County Aquatic Preserve",1999,536,0.02,4.95,0.315,0.77464552238806,1.14981179496054,"5002"
"329","Pinellas County Aquatic Preserve",2000,510,0.004,7.6,0.38,0.914221568627451,1.30261064899446,"5002"
"330","Pinellas County Aquatic Preserve",2001,521,3e-04,5.02,0.1,0.813392322456814,1.16152719411631,"5002;514"
"331","Pinellas County Aquatic Preserve",2002,33,2e-04,6e-04,3e-04,0.000333333333333333,0.000102062072615966,"514"
"332","Pinellas County Aquatic Preserve",2003,39,2e-04,0.0022,3e-04,0.000558974358974359,0.000647959529567098,"514"
"333","Pinellas County Aquatic Preserve",2004,1192,2e-04,3.79,0.08,0.366717869127517,0.511867266449967,"5002;514"
"334","Pinellas County Aquatic Preserve",2005,1656,0,4.7,0.02,0.278811050724638,0.559553673759171,"5002;514"
"335","Pinellas County Aquatic Preserve",2006,1613,0,6.83,0.02,0.220312151270924,0.503079850563827,"5002;514"
"336","Pinellas County Aquatic Preserve",2007,1645,0,3.98,0.02,0.215012218844985,0.479568084153276,"5002;514"
"337","Pinellas County Aquatic Preserve",2008,1400,0,4.17,0.02,0.251488071428571,0.518197648154051,"5002;514"
"338","Pinellas County Aquatic Preserve",2009,1686,0,6.5,0.02,0.291861862396204,0.607722265208963,"5002;514"
"339","Pinellas County Aquatic Preserve",2010,1502,0,3.88,0.02,0.237958854860186,0.453332381260763,"5002;514"
"340","Pinellas County Aquatic Preserve",2011,1082,0,3.4,0.025,0.283341312384473,0.464610203211419,"5002;514"
"341","Pinellas County Aquatic Preserve",2012,1561,0,4.75,0.02,0.278888468930173,0.50794642572363,"5002;514"
"342","Pinellas County Aquatic Preserve",2013,1233,0,3.71,0.01,0.208240064882401,0.442112403566117,"5002"
"343","Pinellas County Aquatic Preserve",2014,1260,0,2.45,0.01,0.181928571428571,0.349080505076077,"5002"
"344","Pinellas County Aquatic Preserve",2015,1280,0,2.66,0.01,0.2418203125,0.394114300474924,"5002"
"345","Pinellas County Aquatic Preserve",2016,1363,0,3,0.01,0.24483492296405,0.405159853025231,"5002"
"346","Pinellas County Aquatic Preserve",2017,1462,0,3.12,0.01,0.288871409028728,0.45259600864306,"5002"
"347","Pinellas County Aquatic Preserve",2018,1127,5e-04,3.44,0.07,0.399537710736468,0.478789708941577,"5002;514"
"348","Pinellas County Aquatic Preserve",2019,1255,2e-04,2.48,0.02,0.358496892430279,0.432143221778488,"5002;514"
"349","Pinellas County Aquatic Preserve",2020,330,0.01,2.44,0.105,0.458090909090909,0.502191844064967,"5002"
"350","Rocky Bayou Aquatic Preserve",2001,12,1e-04,4e-04,3e-04,0.000266666666666667,8.87625364598595e-05,"514"
"351","Rocky Bayou Aquatic Preserve",2002,11,1e-04,3e-04,2e-04,0.000218181818181818,6.03022689155527e-05,"514"
"352","Rocky Bayou Aquatic Preserve",2003,12,1e-04,5e-04,3e-04,0.000283333333333333,0.000102985730108887,"514"
"353","Rocky Bayou Aquatic Preserve",2004,11,2e-04,3e-04,3e-04,0.000263636363636364,5.04524979109513e-05,"514"
"354","Rocky Bayou Aquatic Preserve",2005,8,1e-04,4e-04,2e-04,0.000225,8.86405260427918e-05,"514"
"355","Rocky Bayou Aquatic Preserve",2006,11,2e-04,4e-04,2e-04,0.000245454545454545,6.87551650952329e-05,"514"
"356","Rocky Bayou Aquatic Preserve",2007,9,2e-04,3e-04,2e-04,0.000222222222222222,4.40958551844098e-05,"514"
"357","Rocky Bayou Aquatic Preserve",2008,8,2e-04,3e-04,2e-04,0.0002375,5.17549169506765e-05,"514"
"358","Rocky Bayou Aquatic Preserve",2009,9,1e-04,5e-04,3e-04,3e-04,0.000122474487139159,"514"
"359","Rocky Bayou Aquatic Preserve",2010,8,2e-04,3e-04,2e-04,0.0002375,5.17549169506765e-05,"514"
"360","Rocky Bayou Aquatic Preserve",2011,11,1e-04,4e-04,2e-04,0.000236363636363636,8.0903983495589e-05,"514"
"361","Rocky Bayou Aquatic Preserve",2012,12,1e-04,4e-04,0.00025,0.000258333333333333,9.0033663737852e-05,"514"
"362","Rocky Bayou Aquatic Preserve",2013,12,2e-04,4e-04,3e-04,0.000283333333333333,7.17740562565273e-05,"514"
"363","Rocky Bayou Aquatic Preserve",2014,12,2e-04,6e-04,3e-04,0.000283333333333333,0.000111464085804543,"514"
"364","Rocky Bayou Aquatic Preserve",2015,12,2e-04,5e-04,3e-04,0.000316666666666667,8.34847109936722e-05,"514"
"365","Rocky Bayou Aquatic Preserve",2016,12,1e-04,6e-04,3e-04,3e-04,0.000127920429813366,"514"
"366","Rocky Bayou Aquatic Preserve",2017,12,1e-04,3e-04,2e-04,0.000233333333333333,6.51338947278929e-05,"514"
"367","Rocky Bayou Aquatic Preserve",2018,12,2e-04,4e-04,0.00025,0.000258333333333333,6.68557923421521e-05,"514"
"368","Rocky Bayou Aquatic Preserve",2019,9,2e-04,3e-04,3e-04,0.000255555555555556,5.2704627669473e-05,"514"
"369","Rookery Bay Aquatic Preserve",1989,22,0,1.1,0.01,0.317272727272727,0.470219622630206,"5002"
"370","Rookery Bay Aquatic Preserve",1990,80,0,1.3,0.055,0.253375,0.301959607282795,"5002"
"371","Rookery Bay Aquatic Preserve",1991,27,0,0.7,0.31,0.308888888888889,0.207073627435961,"5002"
"372","Rookery Bay Aquatic Preserve",1995,2,0.12,0.13,0.125,0.125,0.00707106781186548,"5002"
"373","Rookery Bay Aquatic Preserve",2001,22,2e-04,5e-04,4e-04,0.000359090909090909,7.34139659030241e-05,"514"
"374","Rookery Bay Aquatic Preserve",2002,295,0,1.092,0.0013,0.0337335593220339,0.138733369754889,"354;514"
"375","Rookery Bay Aquatic Preserve",2003,322,0,0.802,0.002,0.0310996894409938,0.10450622199678,"354;514"
"376","Rookery Bay Aquatic Preserve",2004,309,0,0.659,3e-04,0.0304142394822006,0.103111521666955,"354;514"
"377","Rookery Bay Aquatic Preserve",2005,349,0,0.465,4e-04,0.0229094555873925,0.0637833743785679,"354;514"
"378","Rookery Bay Aquatic Preserve",2006,336,0,0.357,0.00055,0.031497619047619,0.0696590275105612,"354;514"
"379","Rookery Bay Aquatic Preserve",2007,245,0,0.807,5e-04,0.0351779591836735,0.10250295959301,"354;514"
"380","Rookery Bay Aquatic Preserve",2008,278,0,0.383,3e-04,0.0210661870503597,0.0614315410161451,"354;514"
"381","Rookery Bay Aquatic Preserve",2009,287,0,0.054,5e-04,0.0171418118466899,0.0193676121270263,"354;514"
"382","Rookery Bay Aquatic Preserve",2010,286,0,0.066,3e-04,0.0144972027972028,0.018628156180216,"354;514"
"383","Rookery Bay Aquatic Preserve",2011,236,0,0.033,4e-04,0.00752923728813559,0.00889079568578839,"354;514"
"384","Rookery Bay Aquatic Preserve",2012,268,0,0.97,0.007,0.0314888059701493,0.121632419885112,"354"
"385","Rookery Bay Aquatic Preserve",2013,267,0,1.105,0.005,0.0972659176029963,0.230607355325592,"354"
"386","Rookery Bay Aquatic Preserve",2014,198,0,0.66,0,0.0569242424242424,0.159131715446979,"354"
"387","Rookery Bay Aquatic Preserve",2015,228,0,0.97,0,0.0790263157894737,0.198646187163189,"354"
"388","Rookery Bay Aquatic Preserve",2016,255,0,0.73,0,0.0816705882352941,0.199210590995091,"354"
"389","Rookery Bay Aquatic Preserve",2017,238,0,1.1,0,0.0967521008403361,0.232618994311632,"354"
"390","Rookery Bay Aquatic Preserve",2018,217,0,0.792,0,0.063036866359447,0.178441811569096,"354"
"391","Rookery Bay Aquatic Preserve",2019,287,0,0.902,0,0.0910383275261324,0.219678966167028,"354"
"392","Rookery Bay National Estuarine Research Reserve",1989,33,0,1.1,0.02,0.285151515151515,0.414360359561285,"5002"
"393","Rookery Bay National Estuarine Research Reserve",1990,130,0,1.7,0.06,0.254846153846154,0.321178147613552,"5002"
"394","Rookery Bay National Estuarine Research Reserve",1991,56,0,0.79,0.28,0.288928571428571,0.254679324723383,"5002"
"395","Rookery Bay National Estuarine Research Reserve",1994,8,0.02,0.869,0.175,0.35975,0.372853762984134,"5002"
"396","Rookery Bay National Estuarine Research Reserve",1995,7,0.12,0.92,0.38,0.448571428571429,0.352535037096956,"5002"
"397","Rookery Bay National Estuarine Research Reserve",2001,42,2e-04,7e-04,4e-04,0.00040952380952381,0.000103144520466221,"514"
"398","Rookery Bay National Estuarine Research Reserve",2002,502,0,1.724,0.003,0.0830478087649402,0.22085830146618,"354;514"
"399","Rookery Bay National Estuarine Research Reserve",2003,518,0,0.802,0.004,0.0825252895752896,0.168643052699492,"354;514"
"400","Rookery Bay National Estuarine Research Reserve",2004,501,0,0.804,0.003,0.0756860279441118,0.15639942955264,"354;514"
"401","Rookery Bay National Estuarine Research Reserve",2005,565,0,0.793,0.005,0.056676814159292,0.123708853796173,"354;514"
"402","Rookery Bay National Estuarine Research Reserve",2006,540,0,0.818,0.003,0.0567781481481481,0.113391768066337,"354;514"
"403","Rookery Bay National Estuarine Research Reserve",2007,423,0,0.807,0.006,0.0712827423167849,0.136110404239444,"354;514"
"404","Rookery Bay National Estuarine Research Reserve",2008,416,0,0.652,0.004,0.0603158653846154,0.131257381619514,"354;514"
"405","Rookery Bay National Estuarine Research Reserve",2009,366,0,0.054,5e-04,0.0172696721311475,0.0195190818726825,"354;514"
"406","Rookery Bay National Estuarine Research Reserve",2010,367,0,0.066,3e-04,0.0149787465940055,0.0189501412414127,"354;514"
"407","Rookery Bay National Estuarine Research Reserve",2011,366,0,0.055,4e-04,0.00885218579234973,0.011068574947734,"354;514"
"408","Rookery Bay National Estuarine Research Reserve",2012,374,0,1.13,0.0095,0.0985641711229946,0.238909093280813,"354"
"409","Rookery Bay National Estuarine Research Reserve",2013,585,0,1.105,0.011,0.221353846153846,0.306065732245895,"354"
"410","Rookery Bay National Estuarine Research Reserve",2014,294,0,0.8,0.005,0.21993537414966,0.27465314006048,"354"
"411","Rookery Bay National Estuarine Research Reserve",2015,393,0,1.32,0.042,0.290513486005089,0.322309273211734,"354;514"
"412","Rookery Bay National Estuarine Research Reserve",2016,601,0,0.85,0.008,0.203782196339434,0.283582408949911,"354;3;514"
"413","Rookery Bay National Estuarine Research Reserve",2017,518,0,1.4,0.006,0.227027413127413,0.336618784179009,"354;514"
"414","Rookery Bay National Estuarine Research Reserve",2018,464,0,1.015,0,0.219941810344828,0.330693699275568,"354"
"415","Rookery Bay National Estuarine Research Reserve",2019,626,0,1.31,0.01,0.239584664536741,0.337291769274685,"354"
"416","Southeast Florida Coral Reef Ecosystem Conservation Area",2004,4,0,0,0,0,0,"3"
"417","Southeast Florida Coral Reef Ecosystem Conservation Area",2005,1,0,0,0,0,NA,"3"
"418","Southeast Florida Coral Reef Ecosystem Conservation Area",2006,1,0,0,0,0,NA,"3"
"419","Southeast Florida Coral Reef Ecosystem Conservation Area",2007,2,0,0,0,0,0,"3"
"420","Southeast Florida Coral Reef Ecosystem Conservation Area",2009,39,0,0.8365,0.0067,0.0833461538461538,0.191989752805159,"3;5058"
"421","Southeast Florida Coral Reef Ecosystem Conservation Area",2010,191,0,2.8315,0.002,0.102244502617801,0.288033387791724,"3;5058"
"422","Southeast Florida Coral Reef Ecosystem Conservation Area",2011,184,0,0.181,0.0022,0.0321163043478261,0.0471322932398684,"3;5058"
"423","Southeast Florida Coral Reef Ecosystem Conservation Area",2012,1,0,0,0,0,NA,"3"
"424","Southeast Florida Coral Reef Ecosystem Conservation Area",2014,1,0,0,0,0,NA,"3"
"425","Southeast Florida Coral Reef Ecosystem Conservation Area",2016,3,0,0,0,0,0,"3"
"426","St. Andrews Aquatic Preserve",1990,7,3e-04,4e-04,3e-04,0.000342857142857143,5.34522483824849e-05,"514"
"427","St. Andrews Aquatic Preserve",1991,12,1e-04,6e-04,3e-04,3e-04,0.000147709789175199,"514"
"428","St. Andrews Aquatic Preserve",1992,11,1e-04,9e-04,2e-04,0.000290909090909091,0.000211917651244749,"514"
"429","St. Andrews Aquatic Preserve",1993,12,1e-04,4e-04,2e-04,0.000208333333333333,0.000108362466945083,"514"
"430","St. Andrews Aquatic Preserve",1994,11,1e-04,6e-04,2e-04,0.000281818181818182,0.000172152152575458,"514"
"431","St. Andrews Aquatic Preserve",1995,10,1e-04,6e-04,2e-04,0.00026,0.000164654520469713,"514"
"432","St. Andrews Aquatic Preserve",1996,6,1e-04,3e-04,0.00025,0.000233333333333333,8.16496580927726e-05,"514"
"433","St. Andrews Aquatic Preserve",1997,6,1e-04,2e-04,2e-04,0.000166666666666667,5.16397779494322e-05,"514"
"434","St. Andrews Aquatic Preserve",2000,43,0.01,0.53,0.01,0.153255813953488,0.160649291644468,"470"
"435","St. Andrews Aquatic Preserve",2001,43,1e-04,0.71,0.01,0.169411627906977,0.23587444926052,"470;514"
"436","St. Andrews Aquatic Preserve",2003,14,1e-04,4e-04,2e-04,0.000214285714285714,7.70328886519643e-05,"514"
"437","St. Andrews Aquatic Preserve",2004,49,0,0.41,2e-04,0.0343571428571429,0.0985055328395314,"470;514"
"438","St. Andrews Aquatic Preserve",2005,61,0,0.1,2e-04,0.0128704918032787,0.0295230325015475,"470;514"
"439","St. Andrews Aquatic Preserve",2006,41,0,0.02,2e-04,0.0052,0.00804978260576023,"470;514"
"440","St. Andrews Aquatic Preserve",2007,58,0,0.5,2e-04,0.0575379310344828,0.136835386860997,"470;514"
"441","St. Andrews Aquatic Preserve",2008,60,0,0.48,2e-04,0.0850216666666667,0.150949923329253,"470;514"
"442","St. Andrews Aquatic Preserve",2009,20,1e-04,3e-04,2e-04,2e-04,7.25476250110012e-05,"514"
"443","St. Andrews Aquatic Preserve",2010,10,2e-04,4e-04,2e-04,0.00023,6.74948557710553e-05,"514"
"444","St. Andrews Aquatic Preserve",2011,12,1e-04,2e-04,2e-04,0.000175,4.52267016866645e-05,"514"
"445","St. Andrews Aquatic Preserve",2012,11,1e-04,8e-04,2e-04,0.000263636363636364,0.000246059859679417,"514"
"446","St. Andrews Aquatic Preserve",2013,11,1e-04,0.001,1e-04,0.000272727272727273,0.000337908002541843,"514"
"447","St. Andrews Aquatic Preserve",2014,24,1e-04,3e-04,2e-04,0.000179166666666667,5.88229965875272e-05,"514"
